Wall,GroupID,Sum,Count
Sun,0,958,8
Sun,1,1078,8
Sun,2,573,8
Sun,3,593,8
Sun,4,191,8
Sun,5,252,8
Sun,6,351,8
Sun,7,450,8
Sun,8,423,8
Sun,9,749,8
Sun,10,509,8
Sun,11,780,8
Sun,12,569,8
Mercury,0,1552,8
Mercury,1,1505,8
Mercury,2,1429,8
Mercury,3,1007,8
Mercury,4,1064,8
Mercury,5,947,8
Mercury,6,1540,8
Mercury,7,1529,8
Mercury,8,1555,8
Mercury,9,1010,8
Mercury,10,760,8
Mercury,11,901,8
Mercury,12,1245,8
Moon,0,4729,8
Moon,1,3727,8
Moon,2,4038,8
Moon,3,2852,8
Moon,4,2379,8
Moon,5,2318,8
Moon,6,3674,8
Moon,7,3333,8
Moon,8,3380,8
Moon,9,3732,8
Moon,10,3660,8
Moon,11,3601,8
Moon,12,1645,8
Venus,0,5087,8
Venus,1,3698,8
Venus,2,4807,8
Venus,3,4076,8
Venus,4,3374,8
Venus,5,3320,8
Venus,6,4790,8
Venus,7,4632,8
Venus,8,4745,8
Venus,9,3365,8
Venus,10,3257,8
Venus,11,3491,8
Venus,12,4446,8
Jupiter,0,3990,8
Jupiter,1,4058,8
Jupiter,2,4177,8
Jupiter,3,2340,8
Jupiter,4,2230,8
Jupiter,5,2381,8
Jupiter,6,4184,8
Jupiter,7,4150,8
Jupiter,8,3856,8
Jupiter,9,2454,8
Jupiter,10,2161,8
Jupiter,11,2067,8
Jupiter,12,3232,8
Mars,0,5526,8
Mars,1,5518,8
Mars,2,4425,8
Mars,3,2605,8
Mars,4,2496,8
Mars,5,2238,8
Mars,6,4436,8
Mars,7,4441,8
Mars,8,4660,8
Mars,9,3629,8
Mars,10,3124,8
Mars,11,3020,8
Mars,12,4222,8
Saturn,0,5707,8
Saturn,1,5642,8
Saturn,2,5702,8
Saturn,3,3142,8
Saturn,4,2681,8
Saturn,5,2750,8
Saturn,6,5370,8
Saturn,7,5250,8
Saturn,8,5427,8
Saturn,9,3808,8
Saturn,10,2913,8
Saturn,11,2946,8
Saturn,12,2722,8
