tone,frequency_hz,aeon_archetype,function
1,9,"The Architect","The Origin. The pure Will (3^2) that initiates the design."
2,1,"The Reactor","The first reflection. The necessary resistance."
3,3,"The Weaver","The Ternary force (3^1) that binds the duality."
4,1,"The Surveyor","The measurement of form."
5,1,"The Dynamo","The engine of kinetic energy."
6,1,"The Flow","The rhythmic pulse of the system."
7,28,"The Mirror","Axis Mundi. The Eye of the Storm. The Silence."
8,1,"The Harmonizer","The resonant cavity."
9,1,"The Solar","The kinetic radiation."
10,1,"The Mason","The physical manifestation."
11,3,"The Liberator","The destroyer of old forms (Spectral 3 Hz)."
12,1,"The Crystal","The rigid final structure."
13,9,"The Prophet","The Teleos. The Signal returning to Source (3^2)."
