Kin A,Ditrune A,Decimal A,Kin B,Ditrune B,Decimal B,Delta (Abs Diff)
1,211200,612,260,122100,468,144
2,200121,502,259,100212,266,236
3,112020,384,258,221010,678,294
4,020111,175,257,010222,107,68
5,110002,326,256,220001,649,323
6,002101,64,255,001202,47,17
7,102102,308,254,201201,532,224
8,001120,42,253,002210,75,33
9,011001,109,252,022002,218,109
10,010012,86,251,020021,169,83
11,021010,192,250,012020,141,51
12,100022,251,249,200011,490,239
13,210100,576,248,120200,423,153
14,201200,531,247,102100,306,225
15,200202,506,246,100101,253,253
16,220020,654,245,110010,327,327
17,020222,188,244,010111,94,94
18,221002,677,243,112001,379,298
19,002212,77,242,001121,43,34
20,122122,476,241,211211,616,140
21,001211,49,240,002122,71,22
22,121001,433,239,212002,623,190
23,010112,95,238,020221,187,92
24,111010,354,237,222020,708,354
25,100110,255,236,200220,510,255
26,101100,279,235,202200,558,279
27,102200,315,234,201100,522,207
28,200120,501,233,100210,264,237
29,011020,114,232,022010,219,105
30,020012,167,231,010021,88,79
31,021002,191,230,012001,136,55
32,002022,62,229,001011,31,31
33,210210,588,228,120120,420,168
34,001201,46,227,002102,65,19
35,202001,541,226,101002,272,269
36,010220,105,225,020110,174,69
37,222010,705,224,111020,357,348
38,100221,268,223,200112,500,232
39,212100,630,222,121200,450,180
40,122200,477,221,211100,603,126
41,200211,508,220,100122,260,248
42,121020,438,219,212010,624,186
43,020112,176,218,010221,106,70
44,111002,353,217,222001,703,350
45,002110,66,216,001220,51,15
46,101101,280,215,202202,560,280
47,001102,38,214,002201,73,35
48,120001,406,213,210002,569,163
49,010011,85,212,020022,170,85
50,012010,138,211,021020,195,57
51,100021,250,210,200012,491,241
52,022100,225,209,011200,126,99
53,210200,585,208,120100,414,171
54,200201,505,207,100102,254,251
55,202020,546,206,101010,273,273
56,020220,186,205,010110,93,93
57,222002,704,204,111001,352,352
58,002221,79,203,001112,41,38
59,212212,644,202,121121,448,196
60,001122,44,201,002211,76,32
61,211001,595,200,122002,461,134
62,010121,97,199,020212,185,88
63,112010,381,198,221020,681,300
64,100111,256,197,200222,512,256
65,110100,333,196,220200,666,333
66,101200,288,195,202100,549,261
67,200102,497,194,100201,262,235
68,120020,411,193,210010,570,159
69,020011,166,192,010022,89,77
70,012002,137,191,021001,190,53
71,002021,61,190,001012,32,29
72,022022,224,189,011011,112,112
73,001210,48,188,002120,69,21
74,201001,514,187,102002,299,215
75,010202,101,186,020101,172,71
76,220010,651,185,110020,330,321
77,100222,269,184,200111,499,230
78,221100,684,183,112200,396,288
79,212200,639,182,121100,441,198
80,200122,503,181,100211,265,238
81,211020,600,180,122010,462,138
82,020121,178,179,010212,104,74
83,112002,380,178,221001,676,296
84,002111,67,177,001222,53,14
85,110110,336,176,220220,672,336
86,001101,37,175,002202,74,37
87,102001,298,174,201002,515,217
88,010120,96,173,020210,183,87
89,011010,111,172,022020,222,111
90,100012,248,171,200021,493,245
91,021100,198,170,012200,153,45
92,022200,234,169,011100,117,117
93,200210,507,168,100120,258,249
94,201020,519,167,102010,300,219
95,020202,182,166,010101,91,91
96,220002,650,165,110001,325,325
97,002222,80,164,001111,40,40
98,221221,700,163,112112,392,308
99,001212,50,162,002121,70,20
100,122001,460,161,211002,596,136
101,010211,103,160,020122,179,76
102,121010,435,159,212020,627,192
103,100112,257,158,200221,511,254
104,111100,360,157,222200,720,360
105,110200,342,156,220100,657,315
106,200101,496,155,100202,263,233
107,102020,303,154,201010,516,213
108,020120,177,153,010210,102,75
109,011002,110,152,022001,217,107
110,002012,59,151,001021,34,25
111,021021,196,150,012012,140,56
112,001022,35,149,002011,58,23
113,210001,568,148,120002,407,161
114,010201,100,147,020102,173,73
115,202010,543,146,101020,276,267
116,100220,267,145,200110,498,231
117,222100,711,144,111200,369,342
118,221200,693,143,112100,387,306
119,200212,509,142,100121,259,250
120,122020,465,141,211010,597,132
121,020211,184,140,010122,98,86
122,121002,434,139,212001,622,188
123,002112,68,138,001221,52,16
124,111111,364,137,222222,728,364
125,001110,39,136,002220,78,39
126,101001,271,135,202002,542,271
127,010102,92,134,020201,181,89
128,120010,408,133,210020,573,165
129,100011,247,132,200022,494,247
130,012100,144,131,021200,207,63
