,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
13,111000,112002,110001,121020,122022,120021,101010,102012,100011,211200,212202,210201,221220,222222,220221,201210,202212,200211,011100,012102,010101,021120,022122,020121,001110,002112,000111
12,110002,111001,112000,120022,121021,122020,100012,101011,102010,210202,211201,212200,220222,221221,222220,200212,201211,202210,010102,011101,012100,020122,021121,022120,000112,001111,002110
11,112001,110000,111002,122021,120020,121022,102011,100010,101012,212201,210200,211202,222221,220220,221222,202211,200210,201212,012101,010100,011102,022121,020120,021122,002111,000110,001112
10,101020,102022,100021,111010,112012,110011,121000,122002,120001,201220,202222,200221,211210,212212,210211,221200,222202,220201,001120,002122,000121,011110,012112,010111,021100,022102,020101
9,100022,101021,102020,110012,111011,112010,120002,121001,122000,200222,201221,202220,210212,211211,212210,220202,221201,222200,000122,001121,002120,010112,011111,012110,020102,021101,022100
8,102021,100020,101022,112011,110010,111012,122001,120000,121002,202221,200220,201222,212211,210210,211212,222201,220200,221202,002121,000120,001122,012111,010110,011112,022101,020100,021102
7,121010,122012,120011,101000,102002,100001,111020,112022,110021,221210,222212,220211,201200,202202,200201,211220,212222,210221,021110,022112,020111,001100,002102,000101,011120,012122,010121
6,120012,121011,122010,100002,101001,102000,110022,111021,112020,220212,221211,222210,200202,201201,202200,210222,211221,212220,020112,021111,022110,000102,001101,002100,010122,011121,012120
5,122011,120010,121012,102001,100000,101002,112021,110020,111022,222211,220210,221212,202201,200200,201202,212221,210220,211222,022111,020110,021112,002101,000100,001102,012121,010120,011122
4,011200,012202,010201,021220,022222,020221,001210,002212,000211,111100,112102,110101,121120,122122,120121,101110,102112,100111,211000,212002,210001,221020,222022,220021,201010,202012,200011
3,010202,011201,012200,020222,021221,022220,000212,001211,002210,110102,111101,112100,120122,121121,122120,100112,101111,102110,210002,211001,212000,220022,221021,222020,200012,201011,202010
2,012201,010200,011202,022221,020220,021222,002211,000210,001212,112101,110100,111102,122121,120120,121122,102111,100110,101112,212001,210000,211002,222021,220020,221022,202011,200010,201012
1,001220,002222,000221,011210,012212,010211,021200,022202,020201,101120,102122,100121,111110,112112,110111,121100,122102,120101,201020,202022,200021,211010,212012,210011,221000,222002,220001
0,000222,001221,002220,010212,011211,012210,020202,021201,022200,100122,101121,102120,110112,111111,112110,120102,121101,122100,200022,201021,202020,210012,211011,212010,220002,221001,222000
-1,002221,000220,001222,012211,010210,011212,022201,020200,021202,102121,100120,101122,112111,110110,111112,122101,120100,121102,202021,200020,201022,212011,210010,211012,222001,220000,221002
-2,021210,022212,020211,001200,002202,000201,011220,012222,010221,121110,122112,120111,101100,102102,100101,111120,112122,110121,221010,222012,220011,201000,202002,200001,211020,212022,210021
-3,020212,021211,022210,000202,001201,002200,010222,011221,012220,120112,121111,122110,100102,101101,102100,110122,111121,112120,220012,221011,222010,200002,201001,202000,210022,211021,212020
-4,022211,020210,021212,002201,000200,001202,012221,010220,011222,122111,120110,121112,102101,100100,101102,112121,110120,111122,222011,220010,221012,202001,200000,201002,212021,210020,211022
-5,211100,212102,210101,221120,222122,220121,201110,202112,200111,011000,012002,010001,021020,022022,020021,001010,002012,000011,111200,112202,110201,121220,122222,120221,101210,102212,100211
-6,210102,211101,212100,220122,221121,222120,200112,201111,202110,010002,011001,012000,020022,021021,022020,000012,001011,002010,110202,111201,112200,120222,121221,122220,100212,101211,102210
-7,212101,210100,211102,222121,220120,221122,202111,200110,201112,012001,010000,011002,022021,020020,021022,002011,000010,001012,112201,110200,111202,122221,120220,121222,102211,100210,101212
-8,201120,202122,200121,211110,212112,210111,221100,222102,220101,001020,002022,000021,011010,012012,010011,021000,022002,020001,101220,102222,100221,111210,112212,110211,121200,122202,120201
-9,200122,201121,202120,210112,211111,212110,220102,221101,222100,000022,001021,002020,010012,011011,012010,020002,021001,022000,100222,101221,102220,110212,111211,112210,120202,121201,122200
-10,202121,200120,201122,212111,210110,211112,222101,220100,221102,002021,000020,001022,012011,010010,011012,022001,020000,021002,102221,100220,101222,112211,110210,111212,122201,120200,121202
-11,221110,222112,220111,201100,202102,200101,211120,212122,210121,021010,022012,020011,001000,002002,000001,011020,012022,010021,121210,122212,120211,101200,102202,100201,111220,112222,110221
-12,220112,221111,222110,200102,201101,202100,210122,211121,212120,020012,021011,022010,000002,001001,002000,010022,011021,012020,120212,121211,122210,100202,101201,102200,110222,111221,112220
-13,222111,220110,221112,202101,200100,201102,212121,210120,211122,022011,020010,021012,002001,000000,001002,012021,010020,011022,122211,120210,121212,102201,100200,101202,112221,110220,111222
